date,interp_P,p_err,type
2021-12-01,1017.8458333333332,0.25,observed
2021-12-02,1006.3833333333332,0.25,observed
2021-12-03,1003.8375,0.25,observed
2021-12-04,1012.3916666666668,0.25,observed
2021-12-05,1008.6541666666668,0.25,observed
2021-12-06,1003.65,0.25,observed
2021-12-07,1011.1208333333332,0.25,observed
2021-12-08,1009.7125,0.25,observed
2021-12-09,1008.325,0.25,observed
2021-12-10,1008.4416666666668,0.25,observed
2021-12-11,1005.375,0.25,observed
2021-12-12,1014.0958333333332,0.25,observed
2021-12-13,1018.6458333333331,0.25,observed
2021-12-14,1018.1333333333332,0.25,observed
2021-12-15,1018.8041666666668,0.25,observed
2021-12-16,1020.2916666666669,0.25,observed
2021-12-17,1021.6125,0.25,observed
2021-12-18,1019.5083333333332,0.25,observed
2021-12-19,1019.4125,0.25,observed
2021-12-20,1016.9166666666669,0.25,observed
2021-12-21,1018.4166666666669,0.25,observed
2021-12-22,1017.1958333333334,0.25,observed
2021-12-23,1017.7125,0.25,observed
2021-12-24,1017.4125,0.25,observed
2021-12-25,1011.85,0.25,observed
2021-12-26,1009.25,0.25,observed
2021-12-27,1009.8916666666668,0.25,observed
2021-12-28,1010.375,0.25,observed
2021-12-29,1011.7666666666668,0.25,observed
2021-12-30,1012.7541666666668,0.25,observed
2021-12-31,1019.7666666666668,0.25,observed
2022-01-01,1021.8708333333334,0.25,observed
2022-01-02,1022.3416666666666,0.25,observed
2022-01-03,1020.55,0.25,observed
2022-01-04,1014.6916666666666,0.25,observed
2022-01-05,1008.0041666666668,0.25,observed
2022-01-06,1005.8166666666668,0.25,observed
2022-01-07,1007.3708333333332,0.25,observed
2022-01-08,1007.9875,0.25,observed
2022-01-09,1006.875,0.25,observed
2022-01-10,998.3625,0.25,observed
2022-01-11,1005.0125,0.25,observed
2022-01-12,1013.3708333333332,0.25,observed
2022-01-13,1020.1416666666668,0.25,observed
2022-01-14,1022.6458333333334,0.25,observed
2022-01-15,1019.375,0.25,observed
2022-01-16,1021.6625,0.25,observed
2022-01-17,1023.475,0.25,observed
2022-01-18,1025.7458333333334,0.25,observed
2022-01-19,1025.8708333333334,0.25,observed
2022-01-20,1021.3208333333332,0.25,observed
2022-01-21,1018.4666666666668,0.25,observed
2022-01-22,1019.5666666666668,0.25,observed
2022-01-23,1022.5958333333334,0.25,observed
2022-01-24,1021.4541666666668,0.25,observed
2022-01-25,1024.5083333333332,0.25,observed
2022-01-26,1025.7541666666666,0.25,observed
2022-01-27,1024.6708333333331,0.25,observed
2022-01-28,1023.1458333333334,0.25,observed
2022-01-29,1020.7791666666668,0.25,observed
2022-01-30,1020.6875,0.25,observed
2022-01-31,1012.8416666666668,0.25,observed
2022-02-01,1003.7458333333332,0.25,observed
2022-02-02,1009.5375,0.25,observed
2022-02-03,1017.9708333333334,0.25,observed
2022-02-04,1018.2375,0.25,observed
2022-02-05,1016.6333333333332,0.25,observed
2022-02-06,1019.6708333333332,0.25,observed
2022-02-07,1017.7833333333332,0.25,observed
2022-02-08,1021.2375,0.25,observed
2022-02-09,1027.4208333333331,0.25,observed
2022-02-10,1024.7458333333334,0.25,observed
2022-02-11,1019.9125,0.25,observed
2022-02-12,1018.6208333333332,0.25,observed
2022-02-13,1020.1583333333332,0.25,observed
2022-02-14,1016.75,0.25,observed
2022-02-15,1013.7541666666666,0.25,observed
2022-02-16,1015.2291666666669,0.25,observed
2022-02-17,1013.2791666666668,0.25,observed
2022-02-18,1015.6958333333332,0.25,observed
2022-02-19,1015.2125,0.25,observed
2022-02-20,1016.3708333333332,0.25,observed
2022-02-21,1016.5208333333334,0.25,observed
2022-02-22,1010.6458333333331,0.25,observed
2022-02-23,1016.6166666666668,0.25,observed
2022-02-24,1019.1416666666668,0.25,observed
2022-02-25,1015.4375,0.25,observed
2022-02-26,1014.625,0.25,observed
2022-02-27,1016.9541666666668,0.25,observed
2022-02-28,1017.0791666666668,0.25,observed
2022-03-01,1016.4458333333332,0.25,observed
2022-03-02,1018.5166666666668,0.25,observed
2022-03-03,1013.9833333333336,0.25,observed
2022-03-04,1008.1666666666666,0.25,observed
2022-03-05,1005.8208333333334,0.25,observed
2022-03-06,1010.0625,0.25,observed
2022-03-07,1009.7583333333332,0.25,observed
2022-03-08,1011.1083333333332,0.25,observed
2022-03-09,1015.8625,0.25,observed
2022-03-10,1020.35,0.25,observed
2022-03-11,1018.1833333333334,0.25,observed
2022-03-12,1016.35,0.25,observed
2022-03-13,1016.8916666666668,0.25,observed
2022-03-14,1022.9250000000002,0.25,observed
2022-03-15,1026.2291666666667,0.25,observed
2022-03-16,1018.8708333333334,0.25,observed
2022-03-17,1011.0875,0.25,observed
2022-03-18,1011.6875,0.25,observed
2022-03-19,1014.3666666666666,0.25,observed
2022-03-20,1020.4916666666666,0.25,observed
2022-03-21,1023.9541666666668,0.25,observed
2022-03-22,1024.0958333333333,0.25,observed
2022-03-23,1023.3375,0.25,observed
2022-03-24,1022.9416666666666,0.25,observed
2022-03-25,1020.45,0.25,observed
2022-03-26,1014.5625,0.25,observed
2022-03-27,1012.3291666666668,0.25,observed
